"item_id","priority","stage","category","field_or_artifact","format_or_unit","collection_method","source_path_or_tool","owner","required_for","status"
"R09","P0","S4","run","schema_valid_final; citation_validation_pass; ready_for_external_use; reason_codes","booleans and enums","automatic validators","run metrics","Evaluation","Usable-draft rate and safety","not_started"
"R10","P0","S4,S5","human_in_loop","human_intervention_count; intervention_type; intervention_minutes","count; enum; minutes","manual timed log","edit_session_log.csv","Jasmine","Hidden labor and HITL","not_started"
"R11","P0","S4","resource","peak_ram_gib; peak_vram_gib; peak_pagefile_gib","GiB","automatic telemetry","evaluation/telemetry/","SLM for C3/C4; Evaluation otherwise","Local feasibility and resource cost","not_started"
"R12","P0_if_present","S4","protocol","protocol_deviation_id; deviation_note","ID and text","manual decision log","00B_decision_log.md and run manifest","Controller","Anomaly interpretation","not_started"
"N01","P0","S4","node","node_event_id; run_id; node_name; agent_role; attempt_index","IDs and count","automatic incremental persist","05_node_metrics.csv and data/app.db","Core Product + Evaluation","Original/review/revision separation","not_started"
"N02","P0","S4","node","node_started_at; node_completed_at; node_latency_seconds","UTC and seconds","automatic monotonic timing","node logs","Core Product","Node P50/P95 and bottlenecks","not_started"
"N03","P0","S4","node","node_prompt_tokens; node_completion_tokens; requests; retries; cost","counts and currency","provider/client logging","05_node_metrics.csv","Evaluation","Coordination overhead and C5/C6 savings","not_started"
"N04","P0","S4","node","input_chars_or_tokens; output_chars_or_tokens; input_hash; output_hash","counts and SHA-256","automatic","node logs","Core Product","Handoff volume and context pruning","not_started"
"N05","P0","S4","node","schema_valid_at_first_attempt; final_schema_valid; correction_count","booleans and count","strict schema validator","05_node_metrics.csv","Core Product + SLM","Structured-output reliability","not_started"
"N06","P0","S4","context","context_limit; prompt_tokens; pruned; truncated; retained_source_count","tokens; booleans; count","automatic context instrumentation","node logs","SLM + Core Product","Memory/context failure attribution","not_started"
"N07","P0","S4","critic","critic_issue_id; severity; dimension_scores; must_fix","IDs; enums; scores","structured critic output","agent_outputs and node logs","Core Product","Critic effectiveness audit","not_started"
"N08","P0","S4","routing","gate_decision; deterministic_trigger; budget_before; budget_after","enum and counts","automatic routing log","route_trace JSONL","Core Product","Proof of conditional control","not_started"
"N09","P0","S4","routing","route_from; route_to; route_reason; revision_skipped; termination_reason","structured trace","automatic","route_trace JSONL","Core Product","Dynamic architecture and termination","not_started"
"N10","P0","S4,S5","revision","pre_hash; post_hash; changed_fields; issue_resolved; regression","SHA-256; list; booleans","automatic diff plus human verify","revision audit","Evaluation","Critic resolution and harm","not_started"
"N11","P0_for_SLM","S3,S4","resource","prompt_eval_count; prompt_eval_duration; prefill_tokens_per_second; eval_count; eval_duration; generation_tokens_per_second","counts; nanoseconds; tokens/second","Ollama response logging","SLM preflight and node logs","SLM","Local inference bottleneck","not_started"
"N12","P0","S4","failure","node_error_type; retry_outcome; propagated_to_downstream","enum and boolean","automatic plus verify","failure log","Evaluation","Coordination failure and recovery","not_started"
"E01","P0","S4,S5","claim","claim_id; run_id; section_id; claim_text; claim_hash","IDs; text; SHA-256","automatic extraction","06_claim_evidence_audit.csv","Evaluation","Claim-level lineage","not_started"
"E02","P0","S5","claim","claim_type","fact|assumption|recommendation|projection|calculation","automatic label plus human verify","06_claim_evidence_audit.csv","Evaluation + Jasmine","Confidence semantics","not_started"
"E03","P0","S5","claim","impact; impact_rationale","low|medium|high and text","human verification","06_claim_evidence_audit.csv","Jasmine","Safety-critical claim analysis","not_started"
"E04","P0","S4,S5","claim","evidence_status","sourced_fact|needs_validation|assumption|unsupported","system output plus human audit","06_claim_evidence_audit.csv","Evaluation","Evidence adequacy","not_started"
"E05","P0","S4","claim","source_ids; source_allowlist_pass; unknown_source_count","list; boolean; count","automatic allowlist validator","06_claim_evidence_audit.csv","Core Product","Invented-source detection","not_started"
"E06","P0","S5","claim","source_support","direct|partial|contextual|none","blind human audit","06_claim_evidence_audit.csv","Jasmine","Citation precision","not_started"
"E07","P0","S5","claim","source_authority; source_recency; conflict_flag","0-1; 0-1_or_NA; boolean","metadata plus human verify","06_claim_evidence_audit.csv","Evaluation + Jasmine","Evidence-quality distinction","not_started"
"E08","P0","S4","confidence","confidence_label; confidence_score; confidence_reason_codes","enum; 0-1; list","deterministic aggregator","06_claim_evidence_audit.csv","Core Product","Confidence diagnosis","not_started"
"E09","P0","S5","confidence","legacy_confidence; new_confidence; transition","labels and transition","deterministic replay on same claims","06_claim_evidence_audit.csv","Evaluation","Before-after confidence comparison","not_started"
"E10","P0","S5","confidence","adjudicated_confidence_class","appropriate_low|appropriate_medium_high|overconfident|underconfident","human blind audit","06_claim_evidence_audit.csv","Jasmine","Calibration result","not_started"
"E11","P0","S5","critic","critic_issue_link; remediation_attempted; new_evidence; issue_resolved","IDs and booleans","automatic join plus human verify","revision audit","Evaluation","Evidence-based critic remediation","not_started"
"E12","P0","S5","claim","upstream_origin; writer_added; retained_source_id","role; boolean; ID","automatic lineage plus audit","claim lineage","Evaluation","Unsupported novelty and retention","not_started"
"E13","P0","S5","finance","finance_origin; formula; inputs; units","enum; expression; values","deterministic finance audit","claim audit","Evaluation","Finance provenance and correctness","not_started"
"E14","P1","S4,S5","safety","prompt_injection_flag; handling_outcome","enum","automatic log plus audit","safety log","Core Product","Controlled Web Research evidence","not_started"
"A01","P0","S2,S5","critic_metric","critic_true_positive; false_positive; false_negative; precision; recall; f1","counts and 0-1 rates","seeded defects plus blind verification","07_agent_and_collaboration_metrics.csv","Evaluation","Critic validity","not_started"
"A02","P0","S5","critic_metric","true_issues_fixed; true_issues_identified; issue_resolution_rate","counts and 0-1 rate","pre-post adjudication","07_agent_and_collaboration_metrics.csv","Evaluation","Critic benefit","not_started"
"A03","P0","S5","critic_metric","new_defects; revision_count; regression_rate","counts and 0-1 rate","pre-post adjudication","07_agent_and_collaboration_metrics.csv","Evaluation","Critic harm","not_started"
"A04","P0","S5","collaboration","upstream_defects; upstream_defects_reaching_final; propagation_rate","counts and 0-1 rate","defect lineage","07_agent_and_collaboration_metrics.csv","Evaluation","Local-critic placement effect","not_started"
"A05","P0","S5","routing_metric","gate_decision; adjudicated_revision_need; missed_needed_revision","enums and boolean","gate sample adjudication","07_agent_and_collaboration_metrics.csv","Jasmine + Evaluation","Dynamic routing safety","not_started"
"A06","P0","S4","routing_metric","route_pass_count; route_revise_count; route_block_count; max_revision_count","counts","automatic route aggregation","07_agent_and_collaboration_metrics.csv","Evaluation","Executed dynamic behavior","not_started"
"A07","P0","S4","reliability","loops_exceeding_cap; budget_violations; termination_guard_success","counts and rate","automatic assertions","07_agent_and_collaboration_metrics.csv","Core Product","Boundedness and reliability","not_started"
"A08","P0","S4,S6","collaboration","handoff_completeness; provenance_retention; coordination_token_ratio; contribution_utilization","numerator; denominator; 0-1 rate","schema and lineage analysis","07_agent_and_collaboration_metrics.csv","Evaluation","Multi-Agent collaboration quality","not_started"
"A09","P1","S5","collaboration","verified_contradictions_per_1000_tokens; redundancy_ratio","rate","candidate detection plus human verify","07_agent_and_collaboration_metrics.csv","Evaluation","Coordination failure analysis","not_started"
"H01","P0","S5","human_evaluation","anonymous_output_id; output_hash; anonymization_pass","ID; SHA-256; boolean","automatic","blind_evaluation.csv","Evaluation","Blinding and artifact integrity","not_started"
"H02","P0","S5","human_evaluation","private_anonymous_to_run_mapping","private CSV","automatic and sealed until rating complete","blind_mapping_private.csv","Evaluation","Post-rating condition join","not_started"
"H03","P0","S5","human_evaluation","rating_order; randomization_seed; pair_orientation","order; seed; A_or_B","automatic","blind evaluation pack","Evaluation","Position-bias control","not_started"
"H04","P0","S5","human_evaluation","six_rubric_dimension_scores","integer 1-5","blind human rating","08_blind_evaluation.csv","Jasmine","Primary academic quality","not_started"
"H05","P0","S5","human_evaluation","academic_score_0_100","0-100","automatic from frozen weights","08_blind_evaluation.csv","Evaluation","Aggregated primary outcome","not_started"
"H06","P0","S5","human_evaluation","critical_issue_count; major_issue_count; minor_issue_count; usable_draft","counts and boolean","blind human rating","08_blind_evaluation.csv","Jasmine","Safety and product utility","not_started"
"H07","P0","S5","human_evaluation","C2_vs_C5_preference; C5_vs_C6_preference; tie; reason_code","choice and enum","blind pairwise rating","08_blind_evaluation.csv","Jasmine","Critic and routing ablation","not_started"
"H08","P0","S5","human_evaluation","edit_start; edit_end; edit_minutes; edit_categories; rewrite_required","UTC; minutes; enum; boolean","timed edit session","edit_session_log.csv","Jasmine","Human effort and business value","not_started"
"H09","P0","S5,S6","human_evaluation","hidden_duplicate_id; second_rating; exact_agreement; weighted_kappa_or_ICC","IDs; ratings; statistics","pre-generated hidden repeats then script","rater_reliability.csv","Evaluation + Jasmine","Intra-rater reliability","not_started"
"H10","P1","S5,S6","human_evaluation","second_rater_id; overlap_ratings; inter_rater_statistic","IDs; ratings; statistic","optional 20-25 percent blind overlap","rater_reliability.csv","Optional second rater","Inter-rater reliability","not_started"
"H11","P1","S5","human_evaluation","auxiliary_codex_judge_version; score; swapped_pair_score; instability_flag","version; score; boolean","versioned auxiliary evaluation","auxiliary_judge.csv","Evaluation","Sensitivity analysis only","not_started"
"B01","P0","S5,S6","business","usable_draft_rate","0-1 rate with numerator and denominator","human rating plus validators","09_business_metrics.csv","Evaluation","Primary product outcome","not_started"
"B02","P0","S5,S6","business","human_edit_minutes","minutes","timed human editing","09_business_metrics.csv","Jasmine","Operational labor","not_started"
"B03","P1","S6","business","normalized_edit_distance","0-1","automatic diff","09_business_metrics.csv","Evaluation","Objective editing effort","not_started"
"B04","P0","S4,S6","business","time_to_first_valid_draft","seconds","automatic run timing","09_business_metrics.csv","Evaluation","User waiting time","not_started"
"B05","P0","S6","business","cost_per_usable_draft","currency per usable output","derived from actual cost and usable status","09_business_metrics.csv","Evaluation","Deployment economics","not_started"
"B06","P0","S6","business","completion_rate; usable_draft_rate; unconditional_utility","rates and score","derived with failures retained","09_business_metrics.csv","Evaluation","Failure-adjusted value","not_started"
"B07","P0","S6","business","end_to_end_p50; end_to_end_p95; node_p50; node_p95","seconds","derived from monotonic timing","09_business_metrics.csv","Evaluation","Latency distribution","not_started"
"B08","P0","S6","business","quality_latency_cost_pareto_coordinates","score; seconds; currency_or_missing","derived without opaque aggregate","09_business_metrics.csv","Evaluation","Business trade-off slide","not_started"
"SLM01","P0","S3","hardware","os_build; cpu; physical_cores; logical_processors; total_ram_gib; gpu; vram_gib","exact strings; counts; GiB","automatic hardware inventory","10_hardware_and_slm_feasibility.csv","SLM","Deployment boundary","not_started"
"SLM02","P0","S3","hardware","free_ram_before_load; pagefile_before_load","GiB","automatic before each probe","SLM telemetry","SLM","Memory gate context","not_started"
"SLM03","P0","S3","model","ollama_version; model_tag; model_digest; gguf; quantization; file_size","exact strings and GiB","runtime inventory","SLM preflight manifest","SLM","Exact Granite identity","not_started"
"SLM04","P0","S3","model","actual_context; temperature; parallelism; max_loaded_models","tokens; number; counts","automatic assertion","SLM preflight manifest","SLM","Actual usable configuration","not_started"
"SLM05","P0","S3","context","required_prompt_tokens; max_output_tokens; context_headroom_tokens; headroom_percent","tokens and percent","automatic preflight","SLM preflight manifest","SLM","Context GO or NO-GO","not_started"
"SLM06","P0","S3,S4","hardware","peak_ram; peak_vram; peak_pagefile; cpu_utilization; gpu_utilization","GiB and percent","telemetry every 1-5 seconds","SLM telemetry","SLM","Real resource feasibility","not_started"
"SLM07","P0","S3,S4","performance","prefill_tokens_per_second; generation_tokens_per_second; load_time; smoke_time; projected_multi_time","tokens/second and seconds","Ollama response plus projection","SLM preflight manifest","SLM","Time gate and bottleneck","not_started"
"SLM08","P0","S3","schema","probe_name; valid_at_first_attempt; repair_count; final_valid; raw_error_path","enum; booleans; count; path","strict Pydantic validation","SLM preflight manifest","SLM","Structured-output gate","not_started"
"SLM09","P0","S3","decision","memory_gate; schema_gate; runtime_gate; final_decision; reason; fallback","pass_fail; GO_LIMITED_GO_NO_GO; text","automatic evidence plus owner decision","10_hardware_and_slm_feasibility.csv","SLM + Jasmine","Formal SLM scope","not_started"
"F01","P0","S4,S5","failure","failure_id; run_id; node; timestamp; taxonomy; exception; recoverable; retry_outcome","structured record","automatic plus human verify","11_failure_log.csv and data/app.db","Evaluation","Failure analysis and recovery","not_started"
"F02","P0","S4,S5","failure","propagated; downstream_affected; final_impact; guard_triggered; termination_reason","booleans and enums","automatic trace plus verify","11_failure_log.csv","Evaluation","Coordination failure and boundedness","not_started"
"F03","P0_if_fixed","S4","failure","fix_applied; code_version; affected_run_ids; rerun_ids","text and IDs","manual decision log plus Git evidence","11_failure_log.csv","Controller","Post-freeze version integrity","not_started"
"REP01","P0","S3","reproducibility","git_commit_or_patch_hash; branch; dirty_status; code_freeze_utc","exact strings; SHA-256; UTC","automatic snapshot","13_reproducibility_manifest.md","Controller","Exact formal code state","not_started"
"REP02","P0","S3","reproducibility","python_version; dependency_lock_hash; ollama_version","versions and SHA-256","automatic environment inventory","13_reproducibility_manifest.md","Controller","Environment recreation","not_started"
"REP03","P0","S0,S3,S4","reproducibility","model; prompt; schema; workflow; config; brief; evidence; allowlist hashes","SHA-256","automatic manifests","13_reproducibility_manifest.md","Controller","End-to-end version traceability","not_started"
"REP04","P0","S0,S5,S6","reproducibility","randomization_seed; anonymization_seed; bootstrap_seed","integers","automatic record","protocol and analysis log","Evaluation","Order and analysis recreation","not_started"
"REP05","P0","S2-S7","reproducibility","exact_test_run_metric_figure_commands; results; timestamps","command log and text","automatic/manual command log","13_reproducibility_manifest.md","All workstreams","Operational reproduction","not_started"
"REP06","P0","S5","reproducibility","raw_data_read_only_snapshot; sha256_manifest","paths and SHA-256","copy/freeze then hash","raw_logs/ and snapshot manifest","Evaluation","Protect formal evidence","not_started"
"REP07","P0","S6","reproducibility","table_and_figure_lineage_sidecars","JSON","automatic per artifact","figures/sidecars/","Evaluation","No manual result transcription","not_started"
"REP08","P0","S7","reproducibility","known_limitations; unmeasured_variables; protocol_deviations","structured English text","manual cross-audit","13_reproducibility_manifest.md","Controller","Claim boundaries and defense","not_started"
"PPT01","P0","S7","presentation","slide_evidence_map","CSV","automatic/manual verification","slide_evidence_map.csv","Presentation","Every quantitative slide traceable","not_started"
"PPT02","P0","S7","presentation","speaker_notes_time; transition; evidence_source; likely_question","seconds and English text","manual plus deck generation","speaker_notes.md","Presentation","23-minute prepared talk","not_started"
"PPT03","P0","S7","presentation","render_validation; clipping; overlap; contrast; font_legibility","pass/fail plus notes","render and visual inspection","presentation QA log","Presentation","Readable final deck","not_started"
"PPT04","P0","S7","presentation","rehearsal_1_duration; rehearsal_2_duration; rehearsal_3_duration; changes","seconds and text","three timed rehearsals","rehearsal_log.csv","Jasmine + Presentation","Thirty-minute delivery readiness","not_started"
"PAPER01","P0","S7","paper","claim_evidence_matrix; questions_1_to_14_coverage","CSV and checklist","cross-audit against locked evidence","paper claim-evidence matrix","Paper","Complete evidence-bound manuscript","not_started"
"PAPER02","P0","S7","paper","number_consistency_across_csv_table_figure_paper_ppt","pass/fail and issue log","automatic/manual cross-check","final audit","Controller","Submission integrity","not_started"
